Fecha_Hecho;Delito;Categoria_Delito;Competencia
2021-02-05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A CASA HABITACION CON VIOLENCIA;ROBO A CASA HABITACION CON VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A CASA HABITACION CON VIOLENCIA;ROBO A CASA HABITACION CON VIOLENCIA;FUERO COMUN
2021-02-05;PERDIDA DE LA VIDA POR OTRAS CAUSAS;HECHO NO DELICTIVO;HECHO NO DELICTIVO
2021-02-05;ROBO DE OBJETOS A ESCUELA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;PERDIDA DE LA VIDA POR CAIDA;HECHO NO DELICTIVO;HECHO NO DELICTIVO
2021-02-05;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;PERDIDA DE LA VIDA POR OTRAS CAUSAS;HECHO NO DELICTIVO;HECHO NO DELICTIVO
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;NARCOMENUDEO POSESION SIMPLE;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A PASAJERO A BORDO DE TRANSPORTE PUBLICO CON VIOLENCIA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;FRAUDE;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ENCUBRIMIENTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;FALSIFICACION O ALTERACION Y USO INDEBIDO DE DOCUMENTOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ENCUBRIMIENTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE PEDALES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;INCOMPETENCIA
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO DE DINERO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A REPARTIDOR CON VIOLENCIA;ROBO A REPARTIDOR CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;QUEBRANTAMIENTO DE SELLOS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE PEDALES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A REPARTIDOR SIN VIOLENCIA;ROBO A REPARTIDOR CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;LESIONES CULPOSAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ANIMALES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;NARCOMENUDEO POSESION SIMPLE;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE ACCESORIOS DE AUTO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;HOMICIDIO POR ARMA DE FUEGO;HOMICIDIO DOLOSO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE PEDALES;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA;FUERO COMUN
2021-02-05;ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;HOMICIDIO POR ARMA BLANCA;HOMICIDIO DOLOSO;FUERO COMUN
2021-02-05;AMENAZAS;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHICULO CON Y SIN VIOLENCIA;FUERO COMUN
