Colonia_Hecho;Municipio_Hecho
SIN DATO ;CDMX
SANTA MARIA LA RIBERA;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
MORELOS;CDMX
SIN DATO ;CDMX
SAN JOSE TICOMAN;CDMX
SAN JOSE TICOMAN;CDMX
SIN DATO ;CDMX
HIPODROMO;CDMX
DOCTORES;CDMX
GUERRERO;CDMX
TEPALCATES;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;QUERETARO
SIN DATO ;CDMX
SIN DATO ;TECAMAC
OBRERA;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
BOSQUES DE LAS LOMAS;CDMX
SIN DATO ;CDMX
LA CONCHITA;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
HEROES DE CERRO PRIETO;CDMX
PUEBLO DE SANTA URSULA COAPA;CDMX
DOCTORES;CDMX
SANTA MARIA LA RIBERA;CDMX
LOMAS DE VISTA HERMOSA;CDMX
SIN DATO ;CDMX
SAN ANTONIO;CDMX
LOMA LA PALMA;CDMX
SIN DATO ;CDMX
HIPODROMO;CDMX
SIN DATO ;CDMX
SIN DATO ;CDMX
TABACALERA;CDMX
JUSTO SIERRA;CDMX
SAN MARCOS NORTE;CDMX
SAN RAFAEL;CDMX
OLIVAR DEL CONDE 2A SECCION;CDMX
SIN DATO ;CDMX
SANTA MARTHA VILLA MILPA ALTA;CDMX
DEL MAR;CDMX
SAN FRANCISCO XICALTONGO;CDMX
ALVARO OBREGON;CDMX
LOMAS DE GUADALUPE;CDMX
TABACALERA;CDMX
PURISIMA ATLAZOLPA;CDMX
AREA FEDERAL PANTEON SAN LORENZO TEZONCO;CDMX
AGRICOLA PANTITLAN;CDMX
SIN DATO ;CDMX
BARRIO 18;CDMX
NOCHEBUE  ;CDMX
ZO   URBA   EJIDAL SANTA MARIA TOMATLAN;CDMX
HIPODROMO CONDESA;CDMX
ROMA NORTE;CDMX
EL VERGEL;CDMX
SANTIAGO ACAHUALTEPEC;CDMX
SANTIAGO ACAHUALTEPEC;CDMX
SAN PEDRO MARTIR;CDMX
SAN PEDRO MARTIR;CDMX
ZENON DELGADO;CDMX
CAFETALES;CDMX
CAFETALES;CDMX
SAN PEDRO MARTIR;CDMX
SAN PEDRO MARTIR;CDMX
NINOS HEROES;CDMX
CAFETALES;CDMX
MIGUEL HIDALGO 2A SECCION;CDMX
CAFETALES;CDMX
CUAJIMALPA;CDMX
LOMAS DE LA ESTANCIA;CDMX
SANTA CRUZ ATOYAC;CDMX
LOMAS DE LA ESTANCIA;CDMX
CHIMILLI;CDMX
CHIMILLI;CDMX
LOMAS DE LA ESTANCIA;CDMX
LOMAS DE LA ESTANCIA;CDMX
DESARROLLO URBANO QUETZALCOATL;CDMX
DESARROLLO URBANO QUETZALCOATL;CDMX
LOMAS DE LA ESTANCIA;CDMX
LOMAS DE LA ESTANCIA;CDMX
PORTALES SUR;CDMX
PORTALES SUR;CDMX
SAN JOSE INSURGENTES;CDMX
