Sexo;Edad;Tipo_Persona;Calidad_Juridica
Masculino;18;FISICA;VICTIMA
Masculino;2;FISICA;VICTIMA
Masculino;14;FISICA;VICTIMA
Femenino;15;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Femenino;45;FISICA;VICTIMA Y DENUNCIANTE
Femenino;13;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;45;FISICA;VICTIMA Y DENUNCIANTE
Femenino;45;FISICA;VICTIMA Y DENUNCIANTE
Femenino;18;FISICA;CADAVER
Masculino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Femenino;27;FISICA;VICTIMA Y DENUNCIANTE
Femenino;3;FISICA;VICTIMA
Masculino;54;FISICA;VICTIMA Y DENUNCIANTE
Femenino;16;FISICA;VICTIMA
Masculino;6;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA
Femenino;47;FISICA;CADAVER
Femenino;15;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;1;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Femenino;1;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA
Femenino;6;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;28;FISICA;CADAVER
Masculino;12;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;0;FISICA;OFENDIDO
NA;0;MORAL;OFENDIDO
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
